scr	time	username
444	4.500	Huncutzoli
444	4.498	Huncutzoli
444	4.499	thatMatthew
444	4.498	thatMatthew
444	4.498	thatMatthew
444	4.498	thatMatthew
444	4.501	thatMatthew
444	4.497	thatMatthew
444	4.499	thatMatthew
444	4.500	thatMatthew
444	38.229	vesco
444	4.501	thatMatthew
444	4.498	thatMatthew
441	11.315	thatMatthew
439	4.552	janusz
438	4.566	janusz
436	4.584	thatMatthew
429	39.611	Gergo
424	11.766	thatMatthew
421	23.713	mocskosfos
421	4.750	thatMatthew
418	4.783	Huncutzoli
416	4.798	Huncutzoli
416	4.799	thatMatthew
406	4.915	thatMatthew
406	4.915	thatMatthew
401	4.982	Huncutzoli
401	4.981	Huncutzoli
400	4.999	Huncutzoli
400	24.946	janusz
400	4.999	janusz
400	5.000	janusz
398	5.016	thatMatthew
396	5.048	thatMatthew
393	5.082	thatMatthew
386	43.944	mocskosfos
384	5.199	xd
381	5.249	vesco
372	5.367	thatMatthew
369	5.418	Huncutzoli
366	5.460	thatMatthew
364	5.483	thatMatthew
364	5.483	thatMatthew
364	5.481	thatMatthew
364	5.484	janusz
364	5.481	thatMatthew
359	47.227	Gergo
359	5.565	thatMatthew
359	5.566	thatMatthew
357	47.512	mindegy
357	5.601	thatMatthew
354	14.117	thatMatthew
351	5.682	thatMatthew
346	5.765	thatMatthew
343	49.436	mocskosfos
341	5.865	thatMatthew
331	15.100	thatMatthew
326	15.298	thatMatthew
324	15.398	Faszallito
316	15.797	thatMatthew
316	6.314	janusz
315	6.332	vesco
313	6.380	janusz
311	6.415	thatMatthew
309	6.466	Huncutzoli
303	16.496	thatMatthew
303	6.599	thatMatthew
301	56.309	Faszallito
297	57.223	thatMatthew
295	6.765	thatMatthew
292	6.832	janusz
287	6.965	mocskosfos
285	17.532	thatMatthew
276	7.233	xd
273	7.317	Faszallito
271	7.367	janusz
270	7.401	thatMatthew
263	7.580	thatMatthew
255	7.832	vesco
243	8.197	Gergo
240	8.299	janusz
235	8.482	thatMatthew
228	74.272	xd
222	4.499	thatMetthew
222	4.498	Huncutzoli
222	4.498	Huncutzoli
222	4.501	Huncutzoli
222	4.501	Huncutzoli
222	4.499	thatMatthew
222	4.498	thatMatthew
222	4.501	thatMatthew
222	4.498	janusz
222	4.496	thatMatthew
222	4.497	thatMatthew
222	4.497	thatMatthew
219	4.550	thatMatthew
212	9.415	thatMatthew
211	23.597	janusz
201	9.915	janusz
198	10.065	thatMatthew
189	5.280	Huncutzoli
187	5.331	Huncutzoli
186	5.364	thatMatthew
186	5.367	janusz
185	5.382	Huncutzoli
185	5.381	Huncutzoli
185	5.401	thatMatthew
185	5.382	thatMatthew
184	5.433	Huncutzoli
182	5.466	Huncutzoli
182	5.480	Huncutzoli
182	5.466	Huncutzoli
181	5.518	thatMatthew
180	5.531	Huncutzoli
180	27.647	Huncutzoli
178	5.617	thatMatthew
177	5.648	Huncutzoli
177	5.649	vesco
176	5.666	Huncutzoli
176	5.668	Huncutzoli
174	5.732	janusz
172	5.782	janusz
172	98.288	thatMatthew
172	5.798	xd
171	11.632	Faszallito
166	5.999	thatMatthew
166	5.999	janusz
165	6.049	janusz
163	6.130	thatMatthew
153	6.499	thatMatthew
148	6.720	thatMatthew
138	7.214	janusz
132	7.565	thatMatthew
130	15.378	thatMatthew
114	8.732	Faszallito
112	17.762	janusz
109	9.149	thatMatthew
101	19.797	Gergo
87	22.730	thatMatthew
86	11.582	xd
77	12.831	janusz
0	20.966	thatMetthew
0	19.616	mocskosfos
0	14.565	mocskosfos
0	14.331	mocskosfos
0	14.031	mocskosfos
0	14.547	mocskosfos
0	22.379	mocskosfos
0	16.529	mocskosfos
0	30.428	mocskosfos
0	18.146	mocskosfos
0	7.432	HUncutzoli
0	7.415	HUncutzoli
0	7.749	HUncutzoli
0	22.963	csicska
0	6.348	Faszallito
0	22.314	Faszallito
0	11.179	Faszallito
0	11.383	Faszallito
0	75.405	Faszallito
0	7.748	Huncutzoli
0	19.482	Gergo
0	22.749	Gergo
0	5.515	Gergo
0	8.482	Huncutzoli
0	7.282	Huncutzoli
0	16.433	Huncutzoli
0	16.714	Huncutzoli
0	14.665	Huncutzoli
0	7.984	thatMatthew
0	9.179	thatMatthew
0	7.383	thatMatthew
0	7.715	thatMatthew
0	16.264	thatMatthew
0	16.349	thatMatthew
0	10.581	thatMatthew
0	8.565	thatMatthew
0	16.048	thatMatthew
0	18.349	thatMatthew
0	17.447	thatMatthew
0	8.515	thatMatthew
0	22.080	janusz
0	12.481	janusz
0	15.379	janusz
0	14.546	janusz
0	13.515	janusz
0	14.661	janusz
0	16.264	janusz
0	5.668	janusz
0	16.513	thatMatthew
0	9.713	thatMatthew
0	5.515	thatMatthew
0	9.264	thatMatthew
